Date,Tweet ID,Text,Likes,cleaned_text
2021-01-07 23:52:15+00:00,1347330237475024897,"Hey @Shopify @ShopifySupport, could you please stop bullying your small business customers?
Again, you've unilateraly taken greatly impacting decisions on my shop because of false-positives in your automation. Involving human before locking down the whole shop could be great 1/11",0,hey could you please stop bullying your small business customers again youve unilateraly taken greatly impacting decisions my shop because false positives your automation involving human before locking down whole shop could be great 1 11
2021-01-08 23:55:58+00:00,1347693558808113161,@RocaMarket @Lupe36976771 Wrong one?,0,wrong one
2021-01-08 23:22:32+00:00,1347685149002108928,"I joined the @Roobet Lights, Camera, Roo! $50,000 Giveaway, and you should join in too! https://t.co/hDe3gJflQj",0,i joined lights camera roo 50 000 giveaway you should join too
2021-01-08 23:01:58+00:00,1347679973046423554,"$ZNTE $SPAC 

Senior Strategic Advisor Ronald Sugar

- Grew Northrop $NOC to 120K employees &amp; $35B annual revenue
- Unanimously elected Chairman of $UBER in 2018

Board of Directors positions (all since 2010)

- Apple $AAPL (1 of 8)
- Chevron $CVX (Lead Director)
- Amgen $AMGN",56,znte spac senior strategic advisor ronald sugar grew northrop noc 120k employees amp 35b annual revenue unanimously elected chairman uber 2018 board directors positions all since 2010 apple aapl 1 8 chevron cvx lead director amgen amgn
2021-01-08 22:23:53+00:00,1347670388533207040,"$OZON the trend is now up after it has a 13/BC bull cross yesterday 
13=13ema
BC= Bollinger Centerline

$XLE $CVX $BZUN $TCEHY $GOOG $NNOX $LULU $NEWR all had 13/BC bull crosses today meaning the trend is now up for these positions. https://t.co/goJiW4HQkB",1,ozon trend is now up after it has 13 bc bull cross yesterday 13 13ema bc bollinger centerline xle cvx bzun tcehy goog nnox lulu newr all had 13 bc bull crosses today meaning trend is now up these positions
2021-01-08 22:19:49+00:00,1347669363038543872,"@ReySantoscrypto Bro this is too generous, that is so much money",0,bro this is too generous that is so much money
2021-01-08 22:08:02+00:00,1347666398953267205,$CVX - Chevron upped at Piper on more attractive free cash flow view https://t.co/q4mez0Hnjc,0,cvx chevron upped at piper more attractive free cash flow view
2021-01-08 21:17:27+00:00,1347653667617439744,@Seb_Cvx Hope that the situation will be clarified as soon as possible.,0,hope that situation will be clarified as soon as possible
2021-01-08 21:05:34+00:00,1347650679108751363,$BP $CVX $CXO NEW ARTICLE : 7 Energy Stocks To Sell Before They Fall Any Further https://t.co/kANdpMNrim Get all the latest $BP related news here : https://t.co/8QbMnkKdX2 https://t.co/B4r4LMOZ12,0,bp cvx cxo new article 7 energy stocks sell before they fall any further get all latest bp related news here
2021-01-08 20:16:42+00:00,1347638382231359489,Cup and handle on $CVX ? https://t.co/043vNtpmbD,0,cup handle cvx
2021-01-08 19:44:49+00:00,1347630357181562881,"Chevron ($CVX) edges higher as Piper Sandler upgrades shares to Overweight from Neutral with a $113 price target, raised from $108, seeing an attractive entry point following the stock's recent underperformance since late October.",0,chevron cvx edges higher as piper sandler upgrades shares overweight neutral with 113 price target raised 108 seeing attractive entry point following stocks recent underperformance since late october
