Date,Open,High,Low,Close,Adj Close,Volume
2021-03-19,103.940002,104.889999,102.739998,103.379997,96.899940,18491000
2021-03-22,103.059998,104.500000,102.309998,102.540001,96.112602,12508500
2021-03-23,101.449997,104.300003,100.690002,101.970001,95.578331,14781700
2021-03-24,102.989998,105.760002,102.910004,104.699997,98.137207,11026800
2021-03-25,102.849998,105.260002,102.070000,105.070000,98.484016,11138200
2021-03-26,106.540001,107.540001,105.360001,107.480003,100.742950,9820200
2021-03-29,106.400002,107.529999,105.699997,106.919998,100.218056,7542300
2021-03-30,106.059998,106.830002,105.589996,105.930000,99.290108,6284600
2021-03-31,105.550003,106.220001,104.599998,104.790001,98.221558,8954400
2021-04-01,105.260002,105.860001,104.209999,105.750000,99.121391,8515800
2021-04-05,105.730003,105.830002,104.169998,104.510002,97.959106,8692700
2021-04-06,104.250000,105.080002,103.449997,103.580002,97.087410,8125100
2021-04-07,103.470001,104.570000,103.260002,104.190002,97.659172,7699300
2021-04-08,103.519997,103.620003,102.070000,103.019997,96.562508,8283000
2021-04-09,103.120003,103.680000,102.099998,102.919998,96.468773,7163700
2021-04-12,103.669998,103.860001,101.510002,101.779999,95.400230,7845900
2021-04-13,101.559998,102.599998,101.290001,102.239998,95.831398,6829900
2021-04-14,102.650002,105.330002,102.599998,104.269997,97.734146,10194800
2021-04-15,104.010002,104.269997,102.930000,103.419998,96.937439,7860500
2021-04-16,103.800003,104.360001,102.430000,102.959999,96.506271,7459700
2021-04-19,103.269997,103.830002,102.209999,103.260002,96.787468,7068700
2021-04-20,102.830002,102.989998,100.510002,101.330002,94.978447,9783800
2021-04-21,100.330002,102.989998,100.139999,102.730003,96.290688,8264400
2021-04-22,102.870003,102.870003,100.870003,100.949997,94.622261,9899400
2021-04-23,101.099998,102.169998,100.720001,101.550003,95.184654,6756000
2021-04-26,101.269997,102.669998,101.260002,101.519997,95.156525,5639700
2021-04-27,101.809998,103.099998,101.510002,102.699997,96.262558,6898900
2021-04-28,103.540001,105.860001,103.370003,105.220001,98.624611,8718400
2021-04-29,106.419998,107.650002,105.750000,106.900002,100.199310,9740300
2021-04-30,104.980003,105.389999,102.970001,103.070000,96.609375,13730000
2021-05-03,103.980003,105.720001,103.220001,105.529999,98.915176,7938100
2021-05-04,105.959999,106.510002,104.849998,106.110001,99.458817,8704300
2021-05-05,107.089996,109.540001,106.820000,108.959999,102.130180,12872400
2021-05-06,108.949997,109.129997,107.419998,109.019997,102.186424,9654900
2021-05-07,108.089996,110.669998,107.699997,110.019997,103.123726,10273000
2021-05-10,111.440002,113.110001,109.519997,109.570000,102.701942,13586500
2021-05-11,109.059998,109.580002,106.209999,106.699997,100.011841,12754800
2021-05-12,107.000000,110.150002,106.720001,107.370003,100.639847,11661900
2021-05-13,106.070000,107.870003,105.440002,106.680000,99.993095,9706300
